Route,Time [min],Region
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Distribution Centre Auckland,103.78366666666668,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Distribution Centre Auckland,99.48316666666666,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Distribution Centre Auckland,139.91299999999998,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Distribution Centre Auckland,121.43266666666666,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Distribution Centre Auckland,122.93233333333333,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--Distribution Centre Auckland,156.82283333333334,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--Distribution Centre Auckland,108.388,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Roselands--Distribution Centre Auckland,155.03166666666667,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Takanini--Distribution Centre Auckland,146.269,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland,79.91283333333332,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Distribution Centre Auckland,116.97999999999999,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Distribution Centre Auckland,98.35983333333333,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Distribution Centre Auckland,101.10233333333333,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--Distribution Centre Auckland,133.75,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--Distribution Centre Auckland,83.52600000000001,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Roselands--Distribution Centre Auckland,131.959,SR1
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--Distribution Centre Auckland,123.19633333333333,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland,118.73433333333332,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland,100.11416666666666,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland,102.85666666666667,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--Distribution Centre Auckland,135.50433333333334,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland,88.25683333333333,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Roselands--Distribution Centre Auckland,133.71333333333334,SR1
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Takanini--Distribution Centre Auckland,124.9505,SR1
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,115.31233333333333,SR1
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,125.09983333333334,SR1
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--Distribution Centre Auckland,154.00766666666667,SR1
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,107.67333333333332,SR1
Distribution Centre Auckland--Countdown Manukau--Countdown Roselands--Distribution Centre Auckland,152.21666666666667,SR1
Distribution Centre Auckland--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,143.45383333333334,SR1
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,106.47966666666667,SR1
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papakura--Distribution Centre Auckland,135.28733333333332,SR1
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,92.34366666666665,SR1
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Roselands--Distribution Centre Auckland,133.49633333333333,SR1
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,124.73366666666666,SR1
Distribution Centre Auckland--Countdown Manurewa--Countdown Papakura--Distribution Centre Auckland,140.39166666666665,SR1
Distribution Centre Auckland--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,100.33033333333333,SR1
Distribution Centre Auckland--Countdown Manurewa--Countdown Roselands--Distribution Centre Auckland,137.86316666666667,SR1
Distribution Centre Auckland--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,129.27733333333333,SR1
Distribution Centre Auckland--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,128.63383333333334,SR1
Distribution Centre Auckland--Countdown Papakura--Countdown Roselands--Distribution Centre Auckland,141.33566666666667,SR1
Distribution Centre Auckland--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,140.69783333333334,SR1
Distribution Centre Auckland--Countdown Papatoetoe--Countdown Roselands--Distribution Centre Auckland,128.34866666666667,SR1
Distribution Centre Auckland--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,119.586,SR1
Distribution Centre Auckland--Countdown Roselands--Countdown Takanini--Distribution Centre Auckland,136.85466666666667,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland,139.33350000000002,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Manukau--Distribution Centre Auckland,176.40066666666667,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Manukau Mall--Distribution Centre Auckland,157.78050000000002,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Manurewa--Distribution Centre Auckland,160.523,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Papakura--Distribution Centre Auckland,193.17066666666665,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Papatoetoe--Distribution Centre Auckland,142.94666666666666,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Roselands--Distribution Centre Auckland,191.37966666666668,SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Takanini--Distribution Centre Auckland,182.617,SR1
